context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
hms,SMAPE,Future Absence,0.9598316897647957,Lag 1,2,0.0,1,1,4
hms,SMAPE,Future Absence,0.6362138444165053,Lag 1,3,0.0,1,1,4
hms,SMAPE,Future Absence,0.621458566220756,Lag 1,4,0.0,1,1,4
hms,SMAPE,Future Absence,0.6138219854731944,Lag 1,5,0.0,1,1,4
hms,SMAPE,Future Absence,0.6133169816595597,Lag 1,6,0.0,1,1,4
hms,SMAPE,Future Absence,0.6082962890245442,Lag 1,7,0.0,1,1,4
hms,SMAPE,Future Absence,0.6080113661362391,Lag 1,8,0.0,1,1,4
hms,SMAPE,Future Absence,0.6062252524344592,Lag 1,9,0.0,1,1,4
hms,SMAPE,Future Absence,0.6022770857893768,Lag 1,10,0.0,1,1,4
hms,SMAPE,Future Absence,0.5994944893313261,Lag 1,11,0.0,1,1,4
hms,SMAPE,Future Absence,0.602138326119159,Lag 1,12,0.0,1,1,4
hms,SMAPE,Future Absence,0.6016791181892278,Lag 1,13,0.0,1,1,4
hms,SMAPE,Future Absence,0.5980794010435742,Lag 1,14,0.0,1,1,4
hms,SMAPE,Future Absence,0.5956278101518675,Lag 1,15,0.0,1,1,4
hms,SMAPE,Future Absence,0.5994822709477704,Lag 1,16,0.0,1,1,4
hms,SMAPE,Future Absence,0.596037767247709,Lag 1,17,0.0,1,1,4
hms,SMAPE,Future Absence,0.5894309057589633,Lag 1,18,0.0,1,1,4
hms,SMAPE,Future Absence,0.5891278190255035,Lag 1,19,0.0,1,1,4
hms,SMAPE,Future Absence,0.5927017434441467,Lag 1,20,0.0,1,1,4
hms,SMAPE,Future Active Time,0.26968001055090013,Lag 1,2,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3157757976112343,Lag 1,3,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3269174900885309,Lag 1,4,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3261484995609679,Lag 1,5,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3277444461033619,Lag 1,6,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3277232610259634,Lag 1,7,0.0,1,1,4
hms,SMAPE,Future Active Time,0.32575594330410984,Lag 1,8,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3207740437278659,Lag 1,9,0.0,1,1,4
hms,SMAPE,Future Active Time,0.32199600549831525,Lag 1,10,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3213692593369221,Lag 1,11,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3214668525161384,Lag 1,12,0.0,1,1,4
hms,SMAPE,Future Active Time,0.32002330148088376,Lag 1,13,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3201721488456901,Lag 1,14,0.0,1,1,4
hms,SMAPE,Future Active Time,0.31867321786818076,Lag 1,15,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3201134304006535,Lag 1,16,0.0,1,1,4
hms,SMAPE,Future Active Time,0.31924784250558275,Lag 1,17,0.0,1,1,4
hms,SMAPE,Future Active Time,0.31903529899323546,Lag 1,18,0.0,1,1,4
hms,SMAPE,Future Active Time,0.3153367886989184,Lag 1,19,0.0,1,1,4
hms,SMAPE,Future Active Time,0.31242917347925625,Lag 1,20,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3818213396472048,Lag 1,2,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3410599218212652,Lag 1,3,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3405881374569566,Lag 1,4,0.0,1,1,4
hms,SMAPE,Future Session Time,0.33889500311415227,Lag 1,5,0.0,1,1,4
hms,SMAPE,Future Session Time,0.338709897590084,Lag 1,6,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3378872946537482,Lag 1,7,0.0,1,1,4
hms,SMAPE,Future Session Time,0.33624943738054736,Lag 1,8,0.0,1,1,4
hms,SMAPE,Future Session Time,0.33596007615476126,Lag 1,9,0.0,1,1,4
hms,SMAPE,Future Session Time,0.33382067617112127,Lag 1,10,0.0,1,1,4
hms,SMAPE,Future Session Time,0.33277677954930185,Lag 1,11,0.0,1,1,4
hms,SMAPE,Future Session Time,0.33006935900867157,Lag 1,12,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3290716691843019,Lag 1,13,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3263286646662519,Lag 1,14,0.0,1,1,4
hms,SMAPE,Future Session Time,0.32474256068075663,Lag 1,15,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3229792462209157,Lag 1,16,0.0,1,1,4
hms,SMAPE,Future Session Time,0.32450277947250644,Lag 1,17,0.0,1,1,4
hms,SMAPE,Future Session Time,0.32325326057030745,Lag 1,18,0.0,1,1,4
hms,SMAPE,Future Session Time,0.32480302937457295,Lag 1,19,0.0,1,1,4
hms,SMAPE,Future Session Time,0.3219409876730513,Lag 1,20,0.0,1,1,4
hms,SMAPE,Future Session Activity,0.3799104725507124,Lag 1,2,0.0,1,1,4
hms,SMAPE,Future Session Activity,0.35675684374650246,Lag 1,3,0.0,1,1,4
hms,SMAPE,Future Session Activity,0.3583518398236512,Lag 1,4,0.0,1,1,4
hms,SMAPE,Future Session Activity,0.3594340587212987,Lag 1,5,0.0,1,1,4
