,context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n,time_epochs
0,hms,SMAPE,Future Absence,0.9596949706339774,Lag 1,2,0.0,1,1,0,0.0
1,hms,SMAPE,Future Absence,0.6350074173946832,Lag 1,3,0.0,1,1,0,0.0
2,hms,SMAPE,Future Absence,0.6226742984906565,Lag 1,4,0.0,1,1,0,0.0
3,hms,SMAPE,Future Absence,0.61527198628448,Lag 1,5,0.0,1,1,0,0.0
4,hms,SMAPE,Future Absence,0.6086087923637674,Lag 1,6,0.0,1,1,0,0.0
5,hms,SMAPE,Future Absence,0.6085047547587416,Lag 1,7,0.0,1,1,0,0.0
6,hms,SMAPE,Future Absence,0.6082504606287423,Lag 1,8,0.0,1,1,0,0.0
7,hms,SMAPE,Future Absence,0.6082679389919656,Lag 1,9,0.0,1,1,0,0.0
8,hms,SMAPE,Future Absence,0.6037148576830298,Lag 1,10,0.0,1,1,0,0.0
9,hms,SMAPE,Future Absence,0.6025550161459442,Lag 1,11,0.0,1,1,0,0.0
10,hms,SMAPE,Future Absence,0.5995344788160158,Lag 1,12,0.0,1,1,0,0.0
11,hms,SMAPE,Future Absence,0.6011624395433957,Lag 1,13,0.0,1,1,0,0.0
12,hms,SMAPE,Future Absence,0.596688464451889,Lag 1,14,0.0,1,1,0,0.0
13,hms,SMAPE,Future Absence,0.5959401663006112,Lag 1,15,0.0,1,1,0,0.0
14,hms,SMAPE,Future Absence,0.5930183689749786,Lag 1,16,0.0,1,1,0,0.0
15,hms,SMAPE,Future Absence,0.5932611870523269,Lag 1,17,0.0,1,1,0,0.0
16,hms,SMAPE,Future Absence,0.5886402255453084,Lag 1,18,0.0,1,1,0,0.0
17,hms,SMAPE,Future Absence,0.5940517706031669,Lag 1,19,0.0,1,1,0,0.0
18,hms,SMAPE,Future Absence,0.5890988734836421,Lag 1,20,0.0,1,1,0,0.0
19,hms,SMAPE,Future Active Time,0.2710162040614479,Lag 1,2,0.0,1,1,0,0.0
20,hms,SMAPE,Future Active Time,0.3153558564548745,Lag 1,3,0.0,1,1,0,0.0
21,hms,SMAPE,Future Active Time,0.3257922598815119,Lag 1,4,0.0,1,1,0,0.0
22,hms,SMAPE,Future Active Time,0.3250589290834229,Lag 1,5,0.0,1,1,0,0.0
23,hms,SMAPE,Future Active Time,0.3258521060601349,Lag 1,6,0.0,1,1,0,0.0
24,hms,SMAPE,Future Active Time,0.3273637270726242,Lag 1,7,0.0,1,1,0,0.0
25,hms,SMAPE,Future Active Time,0.3256490126693774,Lag 1,8,0.0,1,1,0,0.0
26,hms,SMAPE,Future Active Time,0.3249384724497499,Lag 1,9,0.0,1,1,0,0.0
27,hms,SMAPE,Future Active Time,0.323041167178439,Lag 1,10,0.0,1,1,0,0.0
28,hms,SMAPE,Future Active Time,0.320117208631162,Lag 1,11,0.0,1,1,0,0.0
29,hms,SMAPE,Future Active Time,0.3205081125837318,Lag 1,12,0.0,1,1,0,0.0
30,hms,SMAPE,Future Active Time,0.3202249470099608,Lag 1,13,0.0,1,1,0,0.0
31,hms,SMAPE,Future Active Time,0.320851426091599,Lag 1,14,0.0,1,1,0,0.0
32,hms,SMAPE,Future Active Time,0.3184267680368037,Lag 1,15,0.0,1,1,0,0.0
33,hms,SMAPE,Future Active Time,0.320607208211382,Lag 1,16,0.0,1,1,0,0.0
34,hms,SMAPE,Future Active Time,0.3189206296159484,Lag 1,17,0.0,1,1,0,0.0
35,hms,SMAPE,Future Active Time,0.3151656521099524,Lag 1,18,0.0,1,1,0,0.0
36,hms,SMAPE,Future Active Time,0.3168748126741927,Lag 1,19,0.0,1,1,0,0.0
37,hms,SMAPE,Future Active Time,0.3163226696491354,Lag 1,20,0.0,1,1,0,0.0
38,hms,SMAPE,Future Session Time,0.3833906673048575,Lag 1,2,0.0,1,1,0,0.0
39,hms,SMAPE,Future Session Time,0.3422716699846109,Lag 1,3,0.0,1,1,0,0.0
40,hms,SMAPE,Future Session Time,0.3412235659258136,Lag 1,4,0.0,1,1,0,0.0
41,hms,SMAPE,Future Session Time,0.338706156637325,Lag 1,5,0.0,1,1,0,0.0
42,hms,SMAPE,Future Session Time,0.3407231726300058,Lag 1,6,0.0,1,1,0,0.0
43,hms,SMAPE,Future Session Time,0.3386394340682218,Lag 1,7,0.0,1,1,0,0.0
44,hms,SMAPE,Future Session Time,0.33560713195155,Lag 1,8,0.0,1,1,0,0.0
45,hms,SMAPE,Future Session Time,0.3372648146891155,Lag 1,9,0.0,1,1,0,0.0
46,hms,SMAPE,Future Session Time,0.333723677463551,Lag 1,10,0.0,1,1,0,0.0
47,hms,SMAPE,Future Session Time,0.3333427727938293,Lag 1,11,0.0,1,1,0,0.0
48,hms,SMAPE,Future Session Time,0.3309833369865467,Lag 1,12,0.0,1,1,0,0.0
49,hms,SMAPE,Future Session Time,0.3329282223719245,Lag 1,13,0.0,1,1,0,0.0
50,hms,SMAPE,Future Session Time,0.3301871278565734,Lag 1,14,0.0,1,1,0,0.0
51,hms,SMAPE,Future Session Time,0.3247604801644635,Lag 1,15,0.0,1,1,0,0.0
52,hms,SMAPE,Future Session Time,0.3234592404457367,Lag 1,16,0.0,1,1,0,0.0
53,hms,SMAPE,Future Session Time,0.3245854602726882,Lag 1,17,0.0,1,1,0,0.0
54,hms,SMAPE,Future Session Time,0.325274844178574,Lag 1,18,0.0,1,1,0,0.0
55,hms,SMAPE,Future Session Time,0.3224418084539056,Lag 1,19,0.0,1,1,0,0.0
56,hms,SMAPE,Future Session Time,0.3224144348380285,Lag 1,20,0.0,1,1,0,0.0
57,hms,SMAPE,Future Session Activity,0.3797828234120887,Lag 1,2,0.0,1,1,0,0.0
58,hms,SMAPE,Future Session Activity,0.3574685336797005,Lag 1,3,0.0,1,1,0,0.0
59,hms,SMAPE,Future Session Activity,0.3598519023302028,Lag 1,4,0.0,1,1,0,0.0
60,hms,SMAPE,Future Session Activity,0.3597436538002878,Lag 1,5,0.0,1,1,0,0.0
61,hms,SMAPE,Future Session Activity,0.3617996158462572,Lag 1,6,0.0,1,1,0,0.0
62,hms,SMAPE,Future Session Activity,0.3602834281070299,Lag 1,7,0.0,1,1,0,0.0
63,hms,SMAPE,Future Session Activity,0.3569955503777615,Lag 1,8,0.0,1,1,0,0.0
64,hms,SMAPE,Future Session Activity,0.3579812022965458,Lag 1,9,0.0,1,1,0,0.0
65,hms,SMAPE,Future Session Activity,0.3569322207485735,Lag 1,10,0.0,1,1,0,0.0
66,hms,SMAPE,Future Session Activity,0.3574277766705457,Lag 1,11,0.0,1,1,0,0.0
67,hms,SMAPE,Future Session Activity,0.3550398447352637,Lag 1,12,0.0,1,1,0,0.0
68,hms,SMAPE,Future Session Activity,0.3566666561477551,Lag 1,13,0.0,1,1,0,0.0
69,hms,SMAPE,Future Session Activity,0.3529788104927274,Lag 1,14,0.0,1,1,0,0.0
70,hms,SMAPE,Future Session Activity,0.3497131698591532,Lag 1,15,0.0,1,1,0,0.0
71,hms,SMAPE,Future Session Activity,0.3497225131200886,Lag 1,16,0.0,1,1,0,0.0
72,hms,SMAPE,Future Session Activity,0.3531302397967484,Lag 1,17,0.0,1,1,0,0.0
73,hms,SMAPE,Future Session Activity,0.3473018379258913,Lag 1,18,0.0,1,1,0,0.0
74,hms,SMAPE,Future Session Activity,0.3469116356428426,Lag 1,19,0.0,1,1,0,0.0
75,hms,SMAPE,Future Session Activity,0.3500328667086017,Lag 1,20,0.0,1,1,0,0.0
76,hms,SMAPE,Future N° Sessions,0.7884823083260628,Lag 1,2,0.0,1,1,0,0.0
77,hms,SMAPE,Future N° Sessions,0.7778066567203038,Lag 1,3,0.0,1,1,0,0.0
78,hms,SMAPE,Future N° Sessions,0.7722325690008054,Lag 1,4,0.0,1,1,0,0.0
79,hms,SMAPE,Future N° Sessions,0.765582774998398,Lag 1,5,0.0,1,1,0,0.0
80,hms,SMAPE,Future N° Sessions,0.759347616216859,Lag 1,6,0.0,1,1,0,0.0
81,hms,SMAPE,Future N° Sessions,0.7545012044674488,Lag 1,7,0.0,1,1,0,0.0
82,hms,SMAPE,Future N° Sessions,0.741825344746458,Lag 1,8,0.0,1,1,0,0.0
83,hms,SMAPE,Future N° Sessions,0.7289778852743347,Lag 1,9,0.0,1,1,0,0.0
84,hms,SMAPE,Future N° Sessions,0.7210432147706484,Lag 1,10,0.0,1,1,0,0.0
85,hms,SMAPE,Future N° Sessions,0.7092592888600385,Lag 1,11,0.0,1,1,0,0.0
86,hms,SMAPE,Future N° Sessions,0.6935724905597896,Lag 1,12,0.0,1,1,0,0.0
87,hms,SMAPE,Future N° Sessions,0.669608485732942,Lag 1,13,0.0,1,1,0,0.0
88,hms,SMAPE,Future N° Sessions,0.6615465572498148,Lag 1,14,0.0,1,1,0,0.0
89,hms,SMAPE,Future N° Sessions,0.6509240039877736,Lag 1,15,0.0,1,1,0,0.0
90,hms,SMAPE,Future N° Sessions,0.6294469817558433,Lag 1,16,0.0,1,1,0,0.0
91,hms,SMAPE,Future N° Sessions,0.6012858825140538,Lag 1,17,0.0,1,1,0,0.0
